StoreId,ProductCode,ProductDesc1,ProductDesc2,InventoryUnit,Qty,
1FB03,20000016,SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),SCHWEPPES SODA WATER CAN 330 ML. (1x24) (146880),CAN,0,
1FB03,20000017,SODA WATER ROCK 325 ML.(1x24)/(810465),โซดาร๊อค 325มล. (1x24)/(810465),BTL,48,
1FB03,20000018,RED BULL BTL 150 ML  (1x10 PCS) (128499),กระทิงแดงขวด 150 มล. (1x10 ขวด) (128499),BTL,0,
1FB03,20000019,RED BULL EXTRA CAN 170ML.(1x12)/PACK(191869),เรดบลูเอ็กซ์ตร้า 170 มล.(1*12)/แพ็ค(191869),Can,0,
1FB03,20010001,WATER DRINKING CHANG 1500 ML.(1x6)/PACK,น้ำดื่มช้าง 1500 มล.(1x6)/แพ็ค,BTL,0,
1FB03,20010002,WATER DRINKING  CHANG 600 ML.1x12/(110140),น้ำดื่มช้าง 600 มล.1x12/แพ็ค(110140),BTL,34,
1FB03,20010004,WATER SPARKLING MINERAL CHANG(GLASS BTL.)350ML.1x24/PACK,น้ำแร่ธรรมชาติ ตราช้าง(ขวดแก้วชนิดอัดก๊าซ) 350มล.(1x24)/แพ็ค,BTL,0,
1FB03,20010005,WATER NATURAL SANPELLGRINO 500 ML.(1x6)/(225218),น้ำแร่ธรรมชาติ ซานเพลลีกรีโน 500 มล.(1x6)/(225218),BTL,0,
1FB03,20010006,WATER MINERE 500ML. (1x12)/(198281),นํ้าแร่มิเนเร่ 500 มล.(1x12)/(198281),BTL,12,
1FB03,20010007,WATER ARO 350 ML.1x18/(200553),น้ำดื่ม 350 มล.1x18/แพ็ค ตราเอโร่ (200553),BTL,0,
1FB03,20010008,AURA Natural Mineral Water 330 ML.1x15/(215408),น้ำแร่ธรรมชาติ ตราออร่า 330 มล.1x15/(215408),BTL,0,
1FB03,20010009,WATER DRINKING CRYSTAL 500ML.1x24/CASE,น้ำดื่ม คริสตัล 500มล.1x24/ลัง,BTL,0,
1FB03,20010010,WATER DRINKING  BTL 330ML.1x12/(834640),น้ำดื่มเพียวไลท์ เนสเล่ 330 มล.1x12/(834640),BTL,0,
1FB03,20010011,WATER DRINKING S.P.A. 19L.,น้ำดื่ม ตราเอสพีเอ 19 ลิตร,TANK,0,
1FB03,20010012,WATER MINERAL STILL CHANG(GLASS BTL.) 350 ML.(1x24),น้ำแร่ธรรมชาติ ตราช้าง(ขวดแก้ว) 350 มล.(1x24)/แพ็ค,BTL,0,
1FB03,21000001,BEER CORONA EXTRA BTL 330 ML. (1x24),เบียร์โคโรน่าเอ็กซ์ตร้า(ขวด) 330มล.(1x24)/ลัง,BTL,35,
1FB03,21010001,BEER CHANG CLASSIC CAN 320 ML.(1*24)/(250315),เบียร์ช้างคลาสสิค(กระป๋อง)320มล. (1*24)/(250315),CAN,34,
1FB03,21010002,BEER CHANG COLD BREW CAN 490 ML.1x12/(854716),เบียร์ช้างโคลด์บูรว์(กระป๋อง) 490 มล.1x12/(854716),CAN,43,
1FB03,21010003,BEER CHANG LARGE 620 ML.(1x12)/(190814)** ใช้ 21010018 แทน**,เบียร์ช้างคลาสสิค(ขวด)620มล.(1x12)/(190814)** ใช้ 21010018 แทน**,CAN,0,
1FB03,21010005,BEER HEINEKEN CAN 320 ML.(1x24)(805003),เบียร์ไฮเนเก้น 320มล.(1x24)/(805003),CAN,53,
1FB03,21010006,BEER SINGHA CAN 320 ML.(1x24)/(223275),เบียร์สิงห์(กระป๋อง) 320มล.(1x24)/(223275),CAN,41,
1FB03,21010007,BEER CHANG COLD BREW BTL 620 ML.1x12/(853030),เบียร์ช้างโคลด์บูรว์(ขวด ) 620 มล.1x12/(853030),BTL,0,
1FB03,21010008,BEER CHANG CLASSIC SMALL BTL 320ML.1x24/(330603),เบียร์ช้างคลาสสิค(ขวด ) 320 ML.1x24/(330603),BTL,0,
1FB03,21010011,BEER HEINEKEN SMALL BTL 320 ML.1x24/(203866),เบียร์ไฮเนเก้น(ขวด) 320 มล.1x24/(203866),BTL,0,
1FB03,21010012,BEER LEO CAN  320 ML.1x24/(343824),เบียร์ลีโอ(กระป๋อง) 320 มล.1x24/(343824),CAN,19,
1FB03,21010013,SAN MIGUEL SMALL BTL 330 ML.(1x24)/CASE(151202),SAN MIGUEL SMALL BTL 330 ML.(1x24)/CASE(151202),BTL,0,
1FB03,21010014,BEER SINGHA 620 ML.1x12/(800080),เบียร์สิงห์(ขวด) 620 มล.1x12/(800080),BTL,0,
1FB03,21010015,BEER SINGHA SMALL 320 ML.1x24/(190333),เบียร์สิงห์(ขวด) 320 มล.1x24/(190333),BTL,0,
1FB03,21010016,DRAUGHT BEER LEO 30LTR.,เบียร์สด ยี่ห้อลีโอ 30 ลิตร,Tank,0,
1FB03,21010018,BEER CHANG LARGE 620 ML.(1x12)/(190814),เบียร์ช้างคลาสสิค(ขวด)620มล.(1x12)/(190814),Btl,0,
1FB03,21010019,SAN MIGUEL SMALL CAN 330 ML.(1x24)/TRAY(100986),SAN MIGUEL SMALL CAN 330 ML.(1x24)/TRAY(100986),Can,29,
1FB03,22000002,MARTINI BIANCO 100 CL. (184495)ใช้22000015แทน,MARTINI BIANCO 100 CL. (184495)ใช้22000015แทน,ML,0,
1FB03,22000012,CAMPARI BITTER 75 CL. (158697),CAMPARI BITTER 75 CL. (158697),Btl,0.54,
1FB03,22000013,MARTINI EXTRA DRY 100 CL.(184496),MARTINI EXTRA DRY 100 CL.(184496),Btl,0.81,
1FB03,22000014,MARTINI ROSSO 100 CL.(184492),MARTINI ROSSO 100 CL.(184492),Btl,0.84,
1FB03,22000015,MARTINI BIANCO 100 CL. (184495),MARTINI BIANCO 100 CL. (184495),Btl,0,
1FB03,22000016,PERNOD 75 CL.,PERNOD 75 CL.,Btl,0,
1FB03,22000017,FENET BRANCA 70 CL.,FENET BRANCA 70 CL.,Btl,0,
1FB03,22000018,APEROL APERITIF 70 CL.,APEROL APERITIF 70 CL.,Btl,0,
1FB03,22000021,RICARD 75 CL.,RICARD 75 CL.,Btl,0,
1FB03,22000022,ANGOSTURA AROMATIC BITTERS 200 ML.,ANGOSTURA AROMATIC BITTERS 200 ML.,Btl,0,
1FB03,22000023,APEROL APERITIF 70 CL.,APEROL APERITIF 70 CL.,Btl,0,
1FB03,22010008,FINE CALVADOS PERE MAGLOT 70 CL.,FINE CALVADOS PERE MAGLOT 70 CL.,Btl,0,
1FB03,22010009,REMY MARTIN V.S.O.P 70 CL.,REMY MARTIN V.S.O.P 70 CL.,Btl,1,
1FB03,22010010,REGENCY 70 CL. (153760),REGENCY 70 CL. (153760),Btl,0,
1FB03,22010011,REGENCY 35 CL. (153761),REGENCY 35 CL. (153761),Btl,1.42,
1FB03,22010012,H.W.CHERRY BRANDY 75 CL. (185902),H.W.CHERRY BRANDY 75 CL. (185902),Btl,0.62,
1FB03,22010013,HENNESSY V.S.O.P 70 CL. (132952),HENNESSY V.S.O.P 70 CL. (132952),Btl,0,
1FB03,22010014,H.W.APRICOT BRANDY 75 CL.,H.W.APRICOT BRANDY 75 CL.,Btl,0,
1FB03,22010015,H.W.PEACH BRANDY 75 CL.,H.W.PEACH BRANDY 75 CL.,Btl,0,
1FB03,22020014,COINTREAU 70 CL. (156848)ใช้22020027แทน,COINTREAU 70 CL. (156848)ใช้22020027แทน,ML,0,
1FB03,22020026,AMARETTO 75 CL.,AMARETTO 75 CL.,Btl,0,
1FB03,22020027,COINTREAU 70 CL. (156848),COINTREAU 70 CL. (156848),Btl,1,
1FB03,22020028,H.W.CREME DE BANANA 75 CL.,H.W.CREME DE BANANA 75 CL.,Btl,0,
1FB03,22020029,H.W.CREME DE CACAO WHITE  75 CL.,H.W.CREME DE CACAO WHITE  75 CL.,Btl,0,
1FB03,22020030,H.W.CREME DE CLASSIC 75 CL.,H.W.CREME DE CLASSIC 75 CL.,Btl,0.13,
1FB03,22020031,H.W.CREME DE MENTHE GREEN 75 CL.,H.W.CREME DE MENTHE GREEN 75 CL.,Btl,0,
1FB03,22020032,H.W.SAMBUCA 75 CL.,H.W.SAMBUCA 75 CL.,Btl,0,
1FB03,22020033,MOOZE TRIPLE SEC 700 ML.,MOOZE TRIPLE SEC 700 ML.,Btl,1.92,
1FB03,22020034,MOOZE BLUE CURACAO 700 ML.,MOOZE BLUE CURACAO 700 ML.,Btl,1.25,
1FB03,22020035,MOOZE MINT GREEN 700 ML.,MOOZE MINT GREEN 700 ML.,Btl,0,
1FB03,22020036,COPA DE ORO COFFEE LIQUEUR 70 CL.,COPA DE ORO COFFEE LIQUEUR 70 CL.,Btl,0,
1FB03,22020037,CHERRY HERRING 70 CL.,CHERRY HERRING 70 CL.,Btl,0,
1FB03,22020038,D.O.M BENEDICTINE LIQUEUR 70 CL.,D.O.M BENEDICTINE LIQUEUR 70 CL.,Btl,0,
1FB03,22020039,SOUTHERN COMFORT 75 CL.,SOUTHERN COMFORT 75 CL.,Btl,0,
1FB03,22020040,MOOZE COCONUT  700 ML.,MOOZE COCONUT  700 ML.,Btl,0,
1FB03,22020041,DE KUYPER PEACH TREE 70 CL.,DE KUYPER PEACH TREE 70 CL.,Btl,0,
1FB03,22020042,H.W. CREAM DE CACAO WHITE 75 CL.,H.W. CREAM DE CACAO WHITE 75 CL.,Btl,0,
1FB03,22020043,DRUMBUIE 70 CL.,DRUMBUIE 70 CL.,Btl,0,
1FB03,22020044,H.W. CREAM DE BANANA 75 CL.,H.W. CREAM DE BANANA 75 CL.,Btl,0,
1FB03,22020045,MIDORI MELON LIQUEUR 70 CL.,MIDORI MELON LIQUEUR 70 CL.,Btl,0,
1FB03,22020046,H.W.ORANGE CURACAO 75 CL.,H.W.ORANGE CURACAO 75 CL.,Btl,0,
1FB03,22020047,MOOZE STREWBERRY 700 ML.,MOOZE STREWBERRY 700 ML.,Btl,0,
1FB03,22020048,H.W.PEACH SCHNAPPS 75 CL.,H.W.PEACH SCHNAPPS 75 CL.,Btl,0,
1FB03,22020049,PEACH PLOY 70 CL.,PEACH PLOY 70 CL.,Btl,0,
1FB03,22020050,H.W.BLUE CURACAO 75 CL.,H.W.BLUE CURACAO 75 CL.,Btl,0,
1FB03,22020051,MOOZE MELON 700 ML./BOTTLE,MOOZE MELON 700 ML./BOTTLE,Btl,0,
1FB03,22020052,PEACH SCHNAPP 70 CL.,PEACH SCHNAPP 70 CL.,Btl,0,
1FB03,22030001,BAILEY'S IRISH CREAM 70 CLใช้ 22030002แทน,BAILEY'S IRISH CREAM 70 CLใช้ 22030002แทน,ML,0,
1FB03,22030002,BAILEY'S IRISH CREAM 70 CL.,BAILEY'S IRISH CREAM 70 CL.,Btl,0,
1FB03,22050002,KHALUA 70 CL.(64961),KHALUA 70 CL.(64961),Btl,0,
1FB03,22070002,MOOZE ORANGE CURACAO 700 ML.,MOOZE ORANGE CURACAO 700 ML.,Btl,0.88,
1FB03,22080003,ABSOLUTE VODKA 70 CL. (176697) ใช้ 22080004 แทน,ABSOLUTE VODKA 70 CL. (176697) ใช้ 22080004 แทน,ML,0,
1FB03,22080004,ABSOLUTE VODKA 70 CL. (176697),ABSOLUTE VODKA 70 CL. (176697),Btl,0.83,
1FB03,22080005,SMIRNOFF VODKA 70 CL. (107967),SMIRNOFF VODKA 70 CL. (107967),Btl,0.77,
1FB03,22080006,MOOZE VODKA 700 ML.,MOOZE VODKA 700 ML.,Btl,2.92,
1FB03,22090004,SIERRA TEQUILA SILVER 70 CL. (166613),SIERRA TEQUILA SILVER 70 CL. (166613),Btl,0.21,
1FB03,22090005,MOOZE TEQUILA 700 ML.,MOOZE TEQUILA 700 ML.,Btl,3.75,
1FB03,22090006,SIRRA TEQUILA 70 CL.,SIRRA TEQUILA 70 CL.,Btl,0,
1FB03,22100006,GORDON'S DRY GIN 70 CL.(108848),GORDON'S DRY GIN 70 CL.(108848),Btl,1,
1FB03,22100007,MOOZE GIN 700 ML.,MOOZE GIN 700 ML.,Btl,2.67,
1FB03,22100008,PIMM'S NO.1 70 CL.,PIMM'S NO.1 70 CL.,Btl,0,
1FB03,22100010,TANQUERAY GIN 75 CL.,TANQUERAY GIN 75 CL.,Btl,0,
1FB03,22100011,BOMBAY GIN 75 CL.(184502),BOMBAY GIN 75 CL.(184502),Btl,0,
1FB03,22120004,BACARDI WHIITE RUM 75 CL. (933478),BACARDI WHIITE RUM 75 CL. (933478),Btl,0.35,
1FB03,22120005,PALM LEAF COCONUT 70 CL.,PALM LEAF COCONUT 70 CL.,Btl,1.63,
1FB03,22120006,PAMPERO WHITE RUM 75 CL.,PAMPERO WHITE RUM 75 CL.,Btl,0,
1FB03,22130008,CAPTAIN MORGAN BLACK 75 CL. (124117),CAPTAIN MORGAN BLACK 75 CL. (124117),Btl,0.73,
1FB03,22130009,MOOZE RUM 700 ML.,MOOZE RUM 700 ML.,Btl,1.6,
1FB03,22130010,MALIBU 70 CL. (151225),MALIBU 70 CL. (151225),Btl,1,
1FB03,22130011,PHOENIX COCONUT RUM 70 CL. (132304),PHOENIX COCONUT RUM 70 CL. (132304),Btl,0,
1FB03,22130012,CHALONG BAY 700 ML.,CHALONG BAY 700 ML.,Btl,0,
1FB03,22130013,PHOENIX PEACH 70 CL.(228344),PHOENIX PEACH 70 CL.(228344),Btl,0,
1FB03,22130014,SAILOR JERRY RUM 700 ML.,SAILOR JERRY RUM 700 ML.,Btl,0,
1FB03,22140007,SANG SOM 70 CL.(192995),SANG SOM 70 CL.(192995),Btl,1.58,
1FB03,22140008,YEOW NGERN 70 CL.(206675),เหยี่ยวเงิน 70 CL.(206675),Btl,0,
1FB03,22140009,MEKHONG 70 CL.(818024),MEKHONG 70 CL.(818024),Btl,0,
1FB03,22140010,สุราข้าวหอมนิยมไทย 40 ดีกรี 330มล.(1x3)/(857958),สุราข้าวหอมนิยมไทย 40 ดีกรี 330มล.(1x3)/(857958),Btl,0,
1FB03,22140012,SANG SOM 100 CL.,แสงโสม 100 CL.,Btl,0.58,
1FB03,22140014,สุราข้าวหอมนิยมไทย 40 ดีกรี 625มล.(1x3)/(894837),สุราข้าวหอมนิยมไทย 40 ดีกรี 625มล.(1x3)/(894837),Btl,0,
1FB03,22140015,สุราข้าวหอม 40 ดีกรี 330 มล.ตราตะวันแดง(1x3)/838414,สุราข้าวหอม 40 ดีกรี 330 มล.ตราตะวันแดง(1x3)/838414,Btl,0,
1FB03,22150001,JACK DANIEL'S 70 CL. (184603)ใช้22150012แทน,JACK DANIEL'S 70 CL. (184603)ใช้22150012แทน,ML,0,
1FB03,22150004,JOHNNIE RED LABEL 70 CL. (113126)ใช้22150015แทน,JOHNNIE RED LABEL 70 CL. (113126)ใช้22150015แทน,ML,0,
1FB03,22150009,BALLANTINE'S FINEST 70 CLใช้22150017แทน,BALLANTINE'S FINEST 70 CLใช้22150017แทน,ML,0,
1FB03,22150010,JOHN JAMESON IRISH WHISKEY 700 ML.ใช้22150021แทน,JOHN JAMESON IRISH WHISKEY 700 ML.ใช้22150021แทน,Ml,0,
1FB03,22150012,JACK DANIEL'S 70 CL. (184603),JACK DANIEL'S 70 CL. (184603),Btl,0,
1FB03,22150013,JAMESON WHISKY 70 CL. (105149),JAMESON WHISKY 70 CL. (105149),Btl,1.33,
1FB03,22150014,JIM BEAM 70 CL. (210498),JIM BEAM 70 CL. (210498),Btl,0.75,
1FB03,22150015,JOHNNIE RED LABEL 70 CL. (113126),JOHNNIE RED LABEL 70 CL. (113126),Btl,0.62,
1FB03,22150016,JOHNNIE BLACK LABLE 70 CL. (113087),JOHNNIE BLACK LABLE 70 CL. (113087),Btl,0.71,
1FB03,22150017,BALLANTINE'S FINEST 70 CL.,BALLANTINE'S FINEST 70 CL.,Btl,0,
1FB03,22150018,CANADIAN CLUB 75 CL.,CANADIAN CLUB 75 CL.,Btl,0,
1FB03,22150019,CHIVAS REGEL 70 CL.(118144),CHIVAS REGEL 70 CL.(118144),Btl,0,
1FB03,22150020,BALLENTINE'S FINEST 1 L. (151196),BALLENTINE'S FINEST 1 L. (151196),Btl,0,
1FB03,22150021,JOHN JAMESON IRISH WHISKEY 700 ML.,JOHN JAMESON IRISH WHISKEY 700 ML.,Btl,0,
1FB03,22150022,DEWAR WHITE LABLE BLENDED 700 ML.,DEWAR WHITE LABLE BLENDED 700 ML.,Btl,0,
1FB03,24010003,TIO PEPE DRY SHERRY 75 CL.,TIO PEPE DRY SHERRY 75 CL.,Btl,0,
1FB03,24020004,FRESCO SPARKLING PEACH 750 ML.,FRESCO SPARKLING PEACH 750 ML.,Btl,0,
1FB03,24020005,FRESCO N.V.SPARKLING WINE PEACH 750 ML.,FRESCO N.V.SPARKLING WINE PEACH 750 ML.,Btl,0,
1FB03,24020006,FRESCO SPARKLING MOSCATO 750 ML.,FRESCO SPARKLING MOSCATO 750 ML.,Btl,0,
1FB03,26000001,JUICE ORANGE MALEE  200 ML. (1x6)/(106047),น้ำผลไม้-ส้มเขียวหวานมาลี 200มล. (1x6)/(106047),BOX,0,
1FB03,26000002,JUICE ORANGE TANGERINE TIPCO 200ML.(1x6)/(180115),น้ำผลไม้-ส้มเขียวหวานทิปโก้ 200มล.(1x6)/(180115),BOX,0,
1FB03,26000003,JUICE ORANGE MANDARIN TIPCO 200ML.(1x6)/(103089),น้ำผลไม้-ส้มแมนดารินทิปโก้  200มล.(1x6)/(103089),BOX,0,
1FB03,26000004,JUICE SAI NAM PHUENG TIPCO (1x6) (150667),น้ำผลไม้-น้ำส้มสายน้ำผึ้งทิปโก้ 200มล.(1x6)/(150667),BOX,0,
1FB03,26000005,JUICE MANDARIN JUICE MALEE 200 ML.1x24/(104254),น้ำผลไม้-ส้มแมนดารินมาลี 200 มล.1x24/(104254),BOX,0,
1FB03,26000006,JUICE MANDARIN ORANGE MALEE 200 ML. (1x6)/(104254),น้ำผลไม้-น้ำส้มแมนดารินมาลี 200 มล.(1x6)/(104254),BOX,0,
1FB03,26000007,JUICE ORANGE 200ML. (1*6)/(150666),น้ำผลไม้-ส้มโชกุนยี่ห้อทิปโก้ 200 มล.(1*6)/(150666),BOX,0,
1FB03,26000008,JUICE PINEAPPLE MALEE 200 ML. (1x24),น้ำผลไม้-สับปะรดมาลี 200มล.(1x24),BOX,0,
1FB03,26000009,JUICE REDGRAPE MALEE 200 ML. (1x6)/(106002),น้ำผลไม้-องุ่นแดงมาลี 200มล. (1x6)/(106002),BOX,0,
1FB03,26000010,JUICE RED GRAPE TIPCO 200 ML.(1x6)/(438087),น้ำผลไม้-องุ่นแดงทิปโก้  200มล.(1x6)/(438087),BOX,0,
1FB03,26000011,JUICE TANGERINE TIPCO 200 ML.1x6/(180115),น้ำผลไม้-น้ำส้มเขียวหวานทิปโก้  200 มล.1x6/(180115),BOX,0,
1FB03,26000012,JUICE SAI NAM PHUENG 100% MALEE 200 ML.(1x6)/(142520),น้ำผลไม้-น้ำส้มสายน้ำผึ้ง 100%มาลี 200 มล.(1x6)/(142520),Box,0,
1FB03,26010002,JUICE CRANBERRY TIPCO 1L.(1x3)/(167690)ใช้26010069แทน,น้ำผลไม้-แครนเบอร์รี่ทิปโก้ 1ลิตร(1x3)/(167690)ใช้26010069แทน,ML,0,
1FB03,26010019,JUICE CONCENTRATED-MANGO SQUASH DING FONG 760ML.(823948)ใช้26010083แทน,น้ำผลไม้เข้มข้น-มะม่วงสควอชติ่งฟง 760มล.(823948)ใช้26010083แทน,ML,0,
1FB03,31000129,ค่าแรงตัดเย็บ,ค่าแรงตัดเย็บ,JOB,0,
1FB03,32000132,ไม้กวาดดอกอ้อ-กาบห่อ(9033819700282),ไม้กวาดดอกอ้อ-กาบห่อ(9033819700282),Pcs,0,
1FB03,33030008,FEE-SERVICE WEBSITE MONTHLY,FEE-SERVICE WEBSITE MONTHLY,JOB,0,
1FB03,34010017,SIGNAGE(ระบุขนาด),ป้ายต่าง ๆ (ระบุขนาด),PCS,0,
1FB03,34010026,ค่าปัก,ค่าปัก,Set,0,
1FB03,41080009,งานปรับปรุงป้ายต่างๆ(ระบุขนาด),งานปรับปรุงป้ายต่างๆ(ระบุขนาด),JOB,0,
1FB03,41100022,ลูกบิดทั่วไป SOLO C531 หัวกลม SS,ลูกบิดทั่วไป SOLO C531 หัวกลม SS,PCS,0,
1FB03,45010004,TRANSPORTATION FEE(NONE-VAT),ค่าขนส่ง(ไม่มีภาษี),JOB,0,
1FB03,45010005,TRANSPORTATION FEE(VAT),ค่าขนส่ง(มีภาษี),JOB,0,
1FB03,45010007,ค่าติดตั้ง,ค่าติดตั้ง,SET,0,
1FB03,45010010,LABOUR COST,ค่าแรง,JOB,0,
1FB03,45010011,SERVICE & INSTALLED,ค่าแรงติดตั้ง,JOB,0,
1FB03,45010015,ACCESSORIES,ACCESSORIES,JOB,0,
1FB03,45010026,KEY LOCK  50MM.,กุญแจทองเหลือง 50มม.(คอยาว),PCS,0,
1FB03,70000012,VR CHARDONNAY 750ML./AUS.,VR CHARDONNAY 750ML./AUS.,Btl,0,
1FB03,70000013,HARDYS NOTTAGE HILL CHARDONNAY 750ML./AUS.,HARDYS NOTTAGE HILL CHARDONNAY 750ML./AUS.,Btl,0,
1FB03,70000014,HOWARD PARK FLINT ROCK CHARDONNAY 750ML./AUS.,HOWARD PARK FLINT ROCK CHARDONNAY 750ML./AUS.,Btl,0,
1FB03,70000015,ROBERT MONDAVI WOODBRIDGE PINOT GRIGIO 750ML./USA.,ROBERT MONDAVI WOODBRIDGE PINOT GRIGIO 750ML./USA.,Btl,0,
1FB03,70000016,TWIN OAKS CHARDONNARY 750ML./USA.,TWIN OAKS CHARDONNARY 750ML./USA.,Btl,0,
1FB03,70000017,PICCINI VERMENTINO COSTA TOSCANA IGT 750ML./ITALY,PICCINI VERMENTINO COSTA TOSCANA IGT 750ML./ITALY,Btl,0,
1FB03,70000018,GATO NEGRO CHARDONNAY 750ML./CHILE,GATO NEGRO CHARDONNAY 750ML./CHILE,Btl,0,
1FB03,70000019,TARAPACA SAUVIGNON BLANC 750ML./CHILE,TARAPACA SAUVIGNON BLANC 750ML./CHILE,Btl,0,
1FB03,70010009,VR CABERNET SAUVIGNON 750ML./AUS.,VR CABERNET SAUVIGNON 750ML./AUS.,Btl,0,
1FB03,70010010,HARDYS NOTTAGE HILL SHIRAZ 750ML./AUS.,HARDYS NOTTAGE HILL SHIRAZ 750ML./AUS.,Btl,0,
1FB03,70010011,HOWARD PARK FLINT ROCK SHIRAZ 750ML./AUS.,HOWARD PARK FLINT ROCK SHIRAZ 750ML./AUS.,Btl,0,
1FB03,70010012,GATO NEGRO MERLOT 750ML./CHILE,GATO NEGRO MERLOT 750ML./CHILE,Btl,0,
1FB03,70010013,TARAPACA CABERNET SAUVIGNON 750ML./CHILE,TARAPACA CABERNET SAUVIGNON 750ML./CHILE,Btl,0,
1FB03,70010014,ROBERT MONDAVI WOODBRIDGE CABERNET SAUVIGNON 750ML./USA.,ROBERT MONDAVI WOODBRIDGE CABERNET SAUVIGNON 750ML./USA.,Btl,0,
1FB03,70010015,TWIN OAKS CABERNET SAUVIGNON 750ML./USA.,TWIN OAKS CABERNET SAUVIGNON 750ML./USA.,Btl,0,
1FB03,70010016,PICCINI ROSSO COSTA TOSCANA IGT 750ML./ITALY,PICCINI ROSSO COSTA TOSCANA IGT 750ML./ITALY,Btl,0,
1FB03,70040002,PROSECCO SPUMANTE IL FRESCO BRUT VILLA SANDI 750 ML.(0604208/NA),PROSECCO SPUMANTE IL FRESCO BRUT VILLA SANDI 750 ML.(0604208/NA),BTL,0,
1FB03,70040005,HARDYS CREST SPARKLING MOSCATO 750ML./AUS.,HARDYS CREST SPARKLING MOSCATO 750ML./AUS.,Btl,0,
1FB03,70040006,PICCINI PROSECCO DOC 750ML./ITALY,PICCINI PROSECCO DOC 750ML./ITALY,Btl,0,
